age,sex,wc_3p,wc_10p,wc_25p,wc_50p,wc_70p,wc_85p,wc_95
5,m,47.02346041,48.13782991,50.36656891,53.43108504,56.2170088,59.28152493,63.18181818
6,m,48.97360704,50.36656891,52.59530792,56.2170088,59.28152493,62.34604106,66.80351906
7,m,50.92375367,52.31671554,55.38123167,58.72434018,62.06744868,65.41055718,70.70381232
8,m,52.59530792,54.54545455,57.60997067,61.51026393,65.13196481,68.75366569,74.3255132
9,m,54.82404692,56.49560117,60.11730205,64.29618768,68.19648094,72.37536657,78.22580645
10,m,57.3313783,59.28152493,62.62463343,67.36070381,71.53958944,75.99706745,82.40469208
11,m,59.28152493,61.51026393,65.41055718,70.42521994,75.16129032,79.8973607,86.58357771
12,m,61.51026393,63.73900293,68.19648094,73.48973607,78.22580645,83.24046921,90.20527859
13,m,63.46041056,65.96774194,70.42521994,75.99706745,80.73313783,86.02639296,93.26979472
14,m,65.13196481,67.63929619,72.37536657,78.22580645,82.96187683,88.53372434,95.7771261
15,m,66.24633431,69.03225806,74.04692082,79.8973607,84.91202346,90.48387097,97.72727273
16,m,67.36070381,70.14662757,75.4398827,81.56891496,86.58357771,92.15542522,99.1202346
17,m,68.47507331,71.26099707,76.5542522,82.96187683,87.97653959,93.5483871,100.7917889
5,f,46.89759036,48.04216867,50.61746988,53.76506024,56.62650602,60.06024096,64.9246988
6,f,48.90060241,50.3313253,52.90662651,56.34036145,59.48795181,62.92168675,68.35843373
7,f,50.61746988,52.33433735,55.19578313,58.91566265,62.34939759,66.06927711,71.79216867
8,f,52.62048193,54.3373494,57.19879518,61.20481928,65.21084337,69.21686747,74.93975904
9,f,54.62349398,56.34036145,60.06024096,64.06626506,68.07228916,72.36445783,78.37349398
10,f,56.9126506,58.91566265,62.63554217,67.5,71.5060241,76.08433735,82.37951807
11,f,59.48795181,61.77710843,65.49698795,70.64759036,74.93975904,79.80421687,86.09939759
12,f,61.77710843,64.06626506,68.35843373,73.79518072,78.0873494,82.95180723,89.53313253
13,f,63.78012048,66.06927711,70.64759036,76.08433735,80.6626506,85.81325301,92.39457831
14,f,65.21084337,67.5,72.36445783,78.0873494,82.66566265,87.81626506,94.11144578
15,f,66.06927711,68.93072289,73.50903614,79.23192771,84.09638554,89.24698795,95.54216867
16,f,66.64156627,69.50301205,74.36746988,80.37650602,85.24096386,90.39156627,96.40060241
17,f,67.21385542,70.36144578,75.22590361,81.23493976,85.81325301,90.96385542,96.97289157
